id,name,gender,age,template,grades,subject,G10.semester1,G10.semester2,G10.yearAvg,G10.total,G11.semester1,G11.semester2,G11.yearAvg,G11.total,G12.semester1,G12.semester2,G12.yearAvg,G12.total
138,Roxana Skeel,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,46,86,66,132,1,26,14,27,22,81,52,103
139,Marrissa Walcar,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,84,45,65,129,34,38,36,72,81,33,57,114
140,Jaymee Fancutt,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,13,65,39,78,77,1,39,78,66,46,56,112
141,Willy Figures,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,56,44,50,100,21,91,56,112,11,88,50,99
142,Ariela Tace,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,96,70,83,166,67,40,54,107,74,49,62,123
143,Laney Diggons,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,5,41,81,77,26,52,103,19,6,13,25
144,Olga Castagno,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,68,46,57,114,85,85,85,170,21,50,36,71
145,Meryl Pritchett,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,82,28,55,110,18,99,59,117,76,47,62,123
146,Cherry Eyres,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,61,27,44,88,60,10,35,70,23,34,29,57
147,Emmy Conerding,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,81,80,159,92,47,70,139,24,81,53,105
148,Alexandra Fronzek,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,6,27,17,33,57,80,69,137,59,73,66,132
149,Ayn Taile,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,20,55,38,75,95,85,90,180,95,76,86,171
150,Far Berzins,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,88,90,89,178,63,70,67,133,77,72,75,149
151,Harmonie Slay,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,0,53,27,53,42,22,32,64,95,47,71,142
152,Katharyn Lembke,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,95,78,87,173,99,69,84,168,11,68,40,79
153,Keelia Jaume,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,36,56,112,91,36,64,127,20,84,52,104
154,Ragnar Ganderton,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,0,39,78,97,1,49,98,39,52,46,91
155,Lurleen Ewles,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,10,34,68,58,58,58,116,72,16,44,88
156,Rachelle Radbone,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,4,41,23,45,6,18,12,24,32,15,24,47
157,Amory Pass,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,12,4,8,16,53,27,40,80,10,68,39,78
158,Dorothy Holdren,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,72,95,84,167,63,51,57,114,81,68,75,149
159,Frederico Stiegar,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,12,97,55,109,79,20,50,99,97,6,52,103
160,Nikkie MacGuffie,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,95,36,66,131,51,64,58,115,72,70,71,142
161,Antonio Everleigh,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,2,43,23,45,62,50,56,112,70,83,77,153
162,Katina Sangster,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,87,12,50,99,46,16,31,62,74,43,59,117
163,Mort Conaghy,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,100,28,64,128,69,44,57,113,63,85,74,148
164,Tanny Twede,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,19,8,14,27,37,7,22,44,63,17,40,80
165,Sophronia Edelmann,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,89,14,52,103,36,45,41,81,70,23,47,93
166,Yovonnda Feldberg,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,87,80,84,167,67,71,69,138,38,58,48,96
167,Jamey Awton,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,10,36,72,30,9,20,39,60,74,67,134
168,Roley Minmagh,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,37,96,67,133,28,29,29,57,21,23,22,44
169,Della Ciccetti,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,95,64,127,88,2,45,90,38,11,25,49
170,Melisent Ashment,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,69,17,43,86,49,0,25,49,8,68,38,76
171,Gordie Simunek,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,28,32,30,60,30,67,49,97,91,60,76,151
172,Sonny Weiss,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,35,34,67,39,66,53,105,74,27,51,101
173,Filip Glasard,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,28,50,39,78,61,91,76,152,47,90,69,137
174,Tonya Ajsik,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,38,57,114,14,85,50,99,55,40,48,95
175,Aurore Walenta,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,97,88,93,185,36,56,46,92,57,42,50,99
176,Ruggiero Whittick,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,23,78,51,101,90,18,54,108,69,86,78,155
177,Jeannette Jirus,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,7,15,11,22,27,23,25,50,89,100,95,189
178,Hugibert Poyzer,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,85,35,60,120,69,71,70,140,7,50,29,57
179,Kipper Wignall,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,40,36,38,76,35,26,31,61,54,63,59,117
180,Euphemia Feldfisher,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,91,50,71,141,49,29,39,78,16,33,25,49
181,Vevay Andreini,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,13,76,45,89,64,73,69,137,49,68,59,117
182,Jeni Midlane,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,30,43,37,73,94,75,85,169,89,44,67,133
183,Ardis McGrah,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,6,48,27,54,67,57,62,124,0,94,47,94
184,Debbi Iczokvitz,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,37,42,40,79,46,85,66,131,3,8,6,11
185,Karalynn Radoux,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,52,2,27,54,61,84,73,145,25,58,42,83
186,Mozes Prazor,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,36,100,68,136,72,91,82,163,61,38,50,99
187,Douglas Anersen,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,90,29,60,119,43,42,43,85,79,25,52,104
188,Tamara Nutty,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,61,37,49,98,86,1,44,87,27,71,49,98
189,Toby Salerg,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,57,80,69,137,13,62,38,75,90,79,85,169
190,Kristoffer Ruppel,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,4,23,14,27,78,44,61,122,60,92,76,152
191,Ellette Rego,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,72,95,84,167,90,80,85,170,15,32,24,47
192,Padget Millichap,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,90,76,83,166,68,68,68,136,61,74,68,135
193,Jeremy Ghiron,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,61,58,116,88,20,54,108,100,83,92,183
194,Rafaelita Espada,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,48,56,52,104,69,51,60,120,58,87,73,145
195,Marris Arkley,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,51,73,62,124,71,46,59,117,46,86,66,132
196,Yovonnda Cromwell,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,100,68,84,168,25,62,44,87,5,40,23,45
197,Thaddus Grishukov,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,31,92,62,123,79,76,78,155,45,68,57,113
198,Rem Illwell,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,12,33,23,45,28,96,62,124,46,1,24,47
199,Jory Doncom,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,44,40,42,84,1,61,31,62,4,58,31,62
200,Staffard Ivanchin,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,23,76,50,99,72,34,53,106,18,90,54,108
201,Leland Gribben,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,99,59,79,158,17,20,19,37,9,28,19,37
202,Fredia Passmore,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,67,67,67,134,73,6,40,79,67,10,39,77
203,Esme Marrian,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,24,55,40,79,1,72,37,73,31,15,23,46
204,Ermengarde Carless,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,54,94,74,148,30,34,32,64,33,3,18,36
205,Hurleigh Poxton,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,93,16,55,109,79,5,42,84,99,39,69,138
206,Dexter Mathwen,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,74,25,50,99,72,62,67,134,43,60,52,103
207,Elroy Rapi,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,89,52,103,84,43,64,127,50,66,58,116
208,Cord Kall,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,87,66,132,63,59,61,122,8,12,10,20
209,Demetria Crose,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,15,63,39,78,81,99,90,180,8,58,33,66
210,Rocky Catlin,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,16,94,55,110,50,83,67,133,46,77,62,123
211,Kelwin Westrip,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,37,7,22,44,22,18,20,40,37,78,58,115
212,Piotr Marron,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,93,94,187,63,33,48,96,89,21,55,110
213,Cherice Grassick,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,22,40,80,24,19,22,43,5,94,50,99
214,Archaimbaud Ranfield,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,99,43,71,142,55,48,52,103,72,87,80,159
215,Shirley Watkiss,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,35,65,50,100,100,7,54,107,24,96,60,120
216,Antonietta Ruckledge,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,25,98,62,123,24,42,33,66,44,77,61,121
217,Kendre Bonnyson,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,50,54,108,71,2,37,73,81,42,62,123
218,Emory Bignold,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,12,98,55,110,6,75,41,81,26,65,46,91
219,Noe Revill,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,27,18,23,45,13,54,34,67,25,74,50,99
220,Lurleen Muckersie,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,44,60,120,34,6,20,40,46,11,29,57
221,Bartholomeus Derks,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,34,50,42,84,21,92,57,113,42,13,28,55
222,Sallie Garrie,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,68,15,42,83,40,34,37,74,36,9,23,45
223,Hilde Veck,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,43,48,46,91,50,77,64,127,89,50,70,139
224,Reagan Newlands,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,34,8,21,42,79,63,71,142,93,30,62,123
225,Irita McIvor,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,35,84,60,119,34,5,20,39,10,94,52,104
226,Eada Osband,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,90,7,49,97,66,6,36,72,60,35,48,95
227,Leon Kretschmer,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,50,88,69,138,29,21,25,50,44,25,35,69
228,Abbie Kaesmans,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,56,51,54,107,25,97,61,122,73,31,52,104
229,Reggi Taffs,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,25,55,40,80,20,25,23,45,32,28,30,60
230,Ailee Goldsbrough,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,27,36,32,63,37,66,52,103,11,92,52,103
231,Waverley Bamford,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,98,33,66,131,4,64,34,68,33,49,41,82
232,Shena Fuentes,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,44,98,71,142,47,63,55,110,99,99,99,198
233,Shadow Castellone,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,75,100,88,175,13,4,9,17,87,65,76,152
234,Adriaens Haliburton,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,3,63,33,66,96,64,80,160,91,81,86,172
235,Madonna Havis,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,68,39,54,107,32,16,24,48,90,63,77,153
236,Gallagher Gladbach,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,33,42,38,75,90,98,94,188,47,6,27,53
237,Maxi Botting,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,35,91,63,126,76,95,86,171,44,9,27,53
238,Rafi Philippson,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,81,57,113,84,20,52,104,16,63,40,79
239,Lay Ferandez,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,3,57,30,60,27,83,55,110,62,100,81,162
240,Brewster Cleeves,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,34,73,54,107,25,47,36,72,65,22,44,87
241,Bayard Andrieu,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,77,21,49,98,27,11,19,38,49,92,71,141
242,Peadar Handyside,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,1,45,23,46,81,91,86,172,52,52,52,104
243,Meredith Scarlett,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,83,33,58,116,55,45,50,100,1,1,1,2
244,Moss Stening,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,81,15,48,96,89,61,75,150,21,92,57,113
245,Kris Gatecliffe,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,50,35,43,85,36,37,37,73,99,25,62,124
246,Kristofor Haddington,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,97,77,87,174,77,16,47,93,69,28,49,97
247,Alexandre Lavalle,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,1,100,51,101,76,85,81,161,84,15,50,99
248,Nikolia Wakes,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,13,68,41,81,89,50,70,139,16,87,52,103
249,Wittie Askem,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,23,83,53,106,35,99,67,134,3,93,48,96
250,Cherice Culshaw,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,57,100,79,157,23,97,60,120,79,44,62,123
251,Neel Dunston,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,85,100,93,185,44,28,36,72,13,59,36,72
252,Valentino Ramelet,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,49,44,47,93,97,59,78,156,57,35,46,92
253,Laurene Plaskitt,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,19,65,42,84,37,50,44,87,40,24,32,64
254,Lothaire Glancey,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,36,70,53,106,50,59,55,109,85,97,91,182
255,Kirsti Leyland,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,59,41,50,100,85,83,84,168,10,34,22,44
256,Denni Croasdale,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,10,33,65,83,18,51,101,98,45,72,143
257,Reynold Lansdown,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,75,43,59,118,58,5,32,63,87,44,66,131
258,Arel Million,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,97,53,75,150,18,28,23,46,68,9,39,77
259,Hoyt Kornalik,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,67,71,69,138,26,54,40,80,32,63,48,95
260,Dunn Erley,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,63,33,48,96,23,64,44,87,96,92,94,188
261,Lew Pirdy,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,35,25,49,74,34,54,108,83,88,86,171
262,Tibold Kellart,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,45,50,100,84,66,75,150,85,15,50,100
263,Royce Vertey,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,64,55,109,53,67,60,120,20,91,56,111
264,Irene Maestrini,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,36,91,64,127,20,96,58,116,22,84,53,106
265,Kalli Andreacci,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,89,74,147,65,80,73,145,48,90,69,138
266,Cherilynn Armatys,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,35,40,80,73,28,51,101,66,5,36,71
267,Sax Wythill,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,0,41,21,41,48,19,34,67,27,19,23,46
268,Lida Sammes,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,16,39,78,93,72,83,165,38,73,56,111
269,Lew Nossent,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,75,49,97,26,37,32,63,15,94,55,109
270,Jakie Dammarell,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,15,47,93,16,85,51,101,21,79,50,100
271,Arthur Swetman,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,90,66,78,156,86,32,59,118,57,13,35,70
272,Anselm Giovannini,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,21,89,55,110,1,5,3,6,58,17,38,75
273,Rowen Jelly,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,26,51,102,66,77,72,143,38,20,29,58
274,Kerry Angelini,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,81,41,61,122,19,27,23,46,60,87,74,147
275,Rowney McCullogh,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,8,91,50,99,54,66,60,120,79,89,84,168
